"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"grammaire","5","","","",""
"sais","5","","","",""
"intéresser","5","","","",""
"imaginaire","5","","","",""
"voit","5","","","",""
"invite","5","","","",""
"investissement","5","","","",""
"reçues","5","","","",""
"ensuite","5","","","",""
"stable","5","","","",""
"art","5","","","",""
"consommation","5","","","",""
"fossé","5","","","",""
"global","5","","","",""
"opens","5","","","",""
"new","5","","","",""
"window","5","","","",""
"avantage","5","","","",""
"masculins","5","","","",""
"fils","5","","","",""
"nettement","5","","","",""
"apprécier","5","","","",""
"révélé","5","","","",""
"connaître","5","","","",""
"possibilité","5","","","",""
"généralement","5","","","",""
"destinés","5","","","",""
"christine","5","","","",""
"but","5","","","",""
"appétence","5","","","",""
"3h14","5","","","",""
"mères","5","","","",""
"constater","5","","","",""
"style","5","","","",""
"refuser","5","","","",""
"personnalisée","5","","","",""
"centres","5","","","",""
"liées","5","","","",""
"inciter","5","","","",""
"impact","5","","","",""
"coups","5","","","",""
"cœur","5","","","",""
"présente","5","","","",""
"facile","5","","","",""
"collégiens","5","","","",""
"savent","5","","","",""
"inscrit","5","","","",""
"proposés","5","","","",""
"technologies","5","","","",""
"déchiffrer","5","","","",""
"ancien","5","","","",""
"évidence","5","","","",""
"affaiblissement","5","","","",""
"réussite","5","","","",""
"politiques","5","","","",""
"générationnel","5","","","",""
"récentes","5","","","",""
"uniquement","5","","","",""
"retrait","5","","","",""
"04","5","","","",""
"culturels","5","","","",""
"internautes","5","","","",""
"essentiellement","5","","","",""
"mobiles","5","","","",""
"prêt","5","","","",""
"réseau","5","","","",""
"publique","5","","","",""
"emprunter","5","","","",""
"plateforme","5","","","",""
"mesures","5","","","",""
"permis","5","","","",""
"acteurs","5","","","",""
"frais","5","","","",""
"semaines","5","","","",""
"novembre","5","","","",""
"occupe","5","","","",""
"fournie","5","","","",""
"écoles","5","","","",""
"jean","5","","","",""
"pastèque","5","","","",""
"sylvie","5","","","",""
"pelletier","5","","","",""
"existent","5","","","",""
"clara","5","","","",""
"registre","5","","","",""
"achètent","5","","","",""
"passage","5","","","",""
"fonction","5","","","",""
"partenaires","5","","","",""
"utilisées","5","","","",""
"préférence","5","","","",""
"2e","5","","","",""
"test","5","","","",""
"stockage","5","","","",""
"newsletters","5","","","",""
"met","5","","","",""
"twilight","5","","","",""
"sport","5","","","",""
"applications","5","","","",""
"présent","5","","","",""
"questions","5","","","",""
"métier","5","","","",""
"écouté","5","","","",""
"équipement","5","","","",""
"âgé","5","","","",""
"présentation","5","","","",""
"entrée","5","","","",""
"enseignant","5","","","",""
"appareils","5","","","",""
"quʼil","5","","","",""
"voyez","5","","","",""
"père","5","","","",""
"nationale","5","","","",""
"vite","5","","","",""
"existe","5","","","",""
"actualités","5","","","",""
"49","4","","","",""
"54","4","","","",""
"66","4","","","",""
"67","4","","","",""
"83","4","","","",""
"99","4","","","",""
"2000","4","","","",""
"ouvre","4","","","",""
"optent","4","","","",""
"déclare","4","","","",""
"inquiétant","4","","","",""
"écoutent","4","","","",""
"jouent","4","","","",""
"chapitre","4","","","",""
"revenus","4","","","",""
"baisser","4","","","",""
"secteur","4","","","",""
"sociétés","4","","","",""
"utiles","4","","","",""
"charte","4","","","",""
"modifié","4","","","",""
"essais","4","","","",""
"précisément","4","","","",""
"entendre","4","","","",""
"hier","4","","","",""
"camarades","4","","","",""
"spécialisés","4","","","",""
"justice","4","","","",""
"méconnu","4","","","",""
"eglise","4","","","",""
"change","4","","","",""
"concentrer","4","","","",""
"quantité","4","","","",""
"top","4","","","",""
"chrono","4","","","",""
"travailler","4","","","",""
"eux","4","","","",""
"journaux","4","","","",""
"écrivains","4","","","",""
"faudrait","4","","","",""
"ado","4","","","",""
"vois","4","","","",""
"adorent","4","","","",""
"diminue","4","","","",""
"inégalités","4","","","",""
"tv","4","","","",""
"construire","4","","","",""
"écriture","4","","","",""
"bref","4","","","",""
"longue","4","","","",""
"tâches","4","","","",""
"capacités","4","","","",""
"simple","4","","","",""
"totalement","4","","","",""
"malheureusement","4","","","",""
"personnellement","4","","","",""
"bonheur","4","","","",""
"impression","4","","","",""
"devraient","4","","","",""
"découverte","4","","","",""
"courts","4","","","",""
"principalement","4","","","",""
"biens","4","","","",""
"ressources","4","","","",""
"abord","4","","","",""
"électroniques","4","","","",""
"touche","4","","","",""
"origine","4","","","",""
"signifie","4","","","",""
"vendus","4","","","",""
"féminin","4","","","",""
"nuit","4","","","",""
"expériences","4","","","",""
"écart","4","","","",""
"pourraient","4","","","",""
"international","4","","","",""
"english","4","","","",""
"and","4","","","",""
"protection","4","","","",""
"membres","4","","","",""
"intéresse","4","","","",""
"yeux","4","","","",""
"avons","4","","","",""
"actifs","4","","","",""
"décline","4","","","",""
"3h50","4","","","",""
"contexte","4","","","",""
"découvrent","4","","","",""
"rue","4","","","",""
"racontent","4","","","",""
"calendriers","4","","","",""
"matchs","4","","","",""
"ballon","4","","","",""
"transferts","4","","","",""
"ligue","4","","","",""
"réelavec","4","","","",""
"engage","4","","","",""
"acceptant","4","","","",""
"pourrez","4","","","",""
"fonctionnalités","4","","","",""
"gratuites","4","","","",""
"cookiesourefuser","4","","","",""
"imprimer","4","","","",""
"du","4","","","",""
"play","4","","","",""
"commence","4","","","",""
"lui","4","","","",""
"récemment","4","","","",""
"règles","4","","","",""
"lycéens","4","","","",""
"expliquer","4","","","",""
"contrainte","4","","","",""
"films","4","","","",""
"comprise","4","","","",""
"mode","4","","","",""
"pratiquent","4","","","",""
"véritable","4","","","",""
"gagne","4","","","",""
"thérèse","4","","","",""
"encourager","4","","","",""
"claude","4","","","",""
"poissenot","4","","","",""
"enseignement","4","","","",""
"antoine","4","","","",""
"repose","4","","","",""
"suivi","4","","","",""
"précédente","4","","","",""
"repli","4","","","",""
"banalisation","4","","","",""
"supérieures","4","","","",""
"ombre","4","","","",""
"très","4","","","",""
"quarts","4","","","",""
"compléter","4","","","",""
"association","4","","","",""
"augmentation","4","","","",""
"italiens","4","","","",""
"millions","4","","","",""
"agence","4","","","",""
"ios","4","","","",""
"effets","4","","","",""
"présentée","4","","","",""
"europe","4","","","",""
"argonautes","4","","","",""
"interactive","4","","","",""
"américaines","4","","","",""
"inquiétude","4","","","",""
"milliard","4","","","",""
"illicites","4","","","",""
"note","4","","","",""
"euros","4","","","",""
"projets","4","","","",""
"directeur","4","","","",""
"australie","4","","","",""
